OBJECTID,CNTRY_NAME,_mean,Y1993_mean,Y1994_mean,Y1995_mean,Y1996_mean,Y1997_mean,Y1998_mean,Y1999_mean,Y2000_mean,Y2001_mean,Y2002_mean,Y2003_mean,Y2004_mean,Y2005_mean,Y2006_mean,Y2007_mean,Y2008_mean,Y2009_mean,Y2010_mean,Y2011_mean,Y2012_mean,Y2013_mean,Y2014_mean,Y2015_mean,Y2016_mean,Y2017_mean,Y2018_mean
"1",Aruba,30.646090534979425,30.679012345679013,30.061728395061728,33.962962962962962,32.477366255144,35.9958847736626,39.7530864197531,38.4074074074074,39.6584362139918,41.1069958847737,38.320987654321,40.8641975308642,38.7530864197531,40.559670781893,38.7448559670782,38.2716049382716,37.0658436213992,35.1596638655462,32.2016806722689,35.7058823529412,37.2839506172839,36.7325102880658,29.7901234567901,30.2263374485597,31.8353909465021,36.6995884773663,37.0740740740741
"2",Antigua and Barbuda,6.403076923076923,8.044615384615385,8.038461538461538,9.279999999999999,9.51538461538462,10.4430769230769,10.3507692307692,10.9876923076923,10.9815384615385,11.9938461538462,12.78,12.68,13.8015384615385,12.1246153846154,12.76,13.4692307692308,13.8584615384615,15.8308157099698,15.6178247734139,17.3640483383686,15.7692307692308,15.5538461538462,16.6661538461538,17.0676923076923,15.7,17.2661538461538,17.4415384615385
"3",Afghanistan,0.027412145610583,0.019952250455352,0.017495957049828,0.029280171729650,0.029321239445874,0.027617484191704,0.033065061251944,0.028122506107435,0.035091808544527,0.0249070149209,0.042128817216475,0.063560615394178,0.096591268559555,0.126852625725483,0.123490622686472,0.131687516857188,0.104275371246605,0.127250589909277,0.158747194739985,0.173970516744988,0.209232244594878,0.190876085380892,0.566412601795214,0.483432506318324,0.443360404727893,7.02010209212266,2.0414428753617
"4",Algeria,0.503552924723139,0.474244548159953,0.472788772705836,0.544729969264794,0.534736961930626,0.506146065405819,0.532424828842307,0.531687509147383,0.573737173336803,0.561990795700324,0.516821101588799,0.555609906818662,0.641187777470606,0.640320686907453,0.673608378189387,0.717653066202657,0.689485307270746,0.678291833002992,0.799656800214923,0.831458397433938,0.915456393410632,0.920913599921942,1.73516009952352,1.80083424129576,1.78752898703918,3.56937114793554,2.79999902427919
"5",Azerbaijan,1.916988991371616,2.447440093378802,1.960497104799396,2.332517031713699,2.12470342312651,1.81433334096232,2.06226016371806,2.29767544763082,1.61988571777325,1.72299910740851,2.21117036291092,2.29346424675196,2.48565368975961,2.5957857475263,2.68164999732985,3.18238619458495,2.63562431815928,2.43679906007294,2.82107816958359,2.73855226818438,3.55880804705559,3.42477437270654,6.94234011550286,6.57929950640453,6.32482701271752,9.15218303465849,7.98963983551904
"6",Albania,0.248344894592946,0.678898253383646,0.790812752784870,1.421921955848792,1.24052692229478,0.941048873624511,1.29852904625257,1.80836929751226,1.87407641728992,1.84644237069842,2.120952617665,2.23921639514653,2.67555414962605,2.94425740560815,2.51223535259959,2.87272069955035,3.00576180039316,2.88749830569737,2.76598292142954,3.25606560339764,3.35210249226111,3.63476964096075,7.23420023951013,6.70576405992272,6.08294733036582,9.37878753643491,8.69679372754593
"7",Armenia,0.722862005702792,0.902720983178975,0.496739683030879,0.653986428239871,0.93638513737539,1.12185849119162,1.38496054463871,1.03280210428593,1.26394199951372,1.19451382595433,1.6165204128998,1.69536482394288,1.78170243805398,2.04020689197852,1.87219557481046,2.37605269556376,2.64037046042307,2.22878546804561,2.33552108194113,2.87465747370282,3.54943524678942,3.12950642116664,4.39501779359431,3.70595256515108,3.83309387502487,8.08421564510068,6.49559028315024
"8",Andorra,14.405977584059777,14.291407222914073,15.922789539227896,17.991282689912826,16.3337484433375,17.6911581569116,18.7758405977584,19.1357409713574,21.1569115815691,23.2341220423412,23.0398505603985,19.0971357409714,20.8194271481943,22.159402241594,20.2478206724782,19.4321295143213,21.8381070983811,23.8089887640449,20.7765293383271,19.9925093632959,20.772104607721,22.0460772104608,20.947696139477,19.7496886674969,19.5541718555417,21.3424657534247,23.1083437110834
"9",Angola,0.036920382376533,0.030541419106918,0.029388054379407,0.030962892296206,0.03740942507712,0.038901306366185,0.046086420735946,0.048768462030952,0.047250489544454,0.050354673033811,0.049728484295441,0.046837044415915,0.069524344090712,0.063664528749489,0.075758133261794,0.084711428011376,0.100964906001444,0.125519391044936,0.146143195408757,0.161400516381052,0.189171885463657,0.190275743816553,2.0933101500779,2.17081438655246,2.2187405712099,3.0625285581536,1.63071054358668
"10",American Samoa,11.425000000000001,12.940000000000000,12.660000000000000,14.340000000000000,14.64,12.06,14.015,15.615,15.72,15.285,16.21,15.795,18.745,15.375,16.465,16.485,15.535,15.6165803108808,15.880829015544,16.5854922279793,17.53,16.71,17.64,17.455,18.665,18.945,20.805
"11",Argentina,0.356281216687228,0.467628470018006,0.463326256552759,0.584050992745551,0.579089261259966,0.594877768328762,0.636660967313059,0.675030792479648,0.715550102408701,0.716691220799547,0.708639760926589,0.694931118670324,0.745690550052502,0.738491248348086,0.778060832365142,0.803600624034304,0.817463228688809,0.877185847093879,0.880511932737715,0.944663216986042,1.03481396750869,1.01702918947406,1.98612017750841,2.11119878067769,1.98788513057608,2.86009484283359,3.02871236530162
